Site,Control,Dist_enclosure,Lat,Long
1,N,-3.2,51.08471,-0.735633
2,N,-1.6,51.08079,-0.730646
3,N,-0.8,51.078042,-0.724233
4,N,-0.4,51.077857,-0.718062
5,N,-0.2,51.077555,-0.712257
6,N,0,51.078649,-0.708332
7,N,0.2,51.078594,-0.706215
8,N,0.4,51.07772,-0.705348
9,N,0.6,51.077127,-0.704197
10,N,0.8,51.076038,-0.701956
11,N,1,51.074947,-0.700846
12,N,1.2,51.073823,-0.699219
13,N,1.4,51.072332,-0.696114
14,Y,,51.077241,-0.711922
15,Y,,51.070467,-0.707020
16,Y,,51.066204,-0.704806
17,Y,,51.065522,-0.703332
18,Y,,51.063870,-0.702197
19,Y,,51.060752,-0.700450
20,Y,,51.059037,-0.700135
21,Y,,51.057952,-0.698200
22,Y,,51.058018,-0.697077
