"Site","Control","Dist_enclosure","geometry","Treatment"
1,"N",-3.2,c(-0.735633, 51.08471),"A"
2,"N",-1.6,c(-0.730646, 51.08079),"A"
3,"N",-0.8,c(-0.724233, 51.078042),"A"
4,"N",-0.4,c(-0.718062, 51.077857),"A"
5,"N",-0.2,c(-0.712257, 51.077555),"A"
6,"N",0,c(-0.708332, 51.078649),"B"
9,"N",0.6,c(-0.704197, 51.077127),"B"
10,"N",0.8,c(-0.701956, 51.076038),"B"
12,"N",1.2,c(-0.699219, 51.073823),"B"
13,"N",1.4,c(-0.696114, 51.072332),"B"
15,"Y",NA,c(-0.70702, 51.070467),"C"
16,"Y",NA,c(-0.704806, 51.066204),"C"
18,"Y",NA,c(-0.702197, 51.06387),"C"
19,"Y",NA,c(-0.70045, 51.060752),"C"
22,"Y",NA,c(-0.697077, 51.058018),"C"
